B19013_001E,geoid
15779.0,72083
16568.0,72011
14463.0,72131
24374.0,72021
18977.0,72033
13031.0,72055
15112.0,72097
53682.0,01001
50221.0,01003
32911.0,01005
36447.0,01007
44145.0,01009
32033.0,01011
29918.0,01013
39962.0,01015
32402.0,01017
34907.0,01019
41250.0,01021
33941.0,01023
29357.0,01025
34002.0,01027
38019.0,01029
43768.0,01031
39077.0,01033
24658.0,01035
37277.0,01037
35869.0,01039
36275.0,01041
38847.0,01043
44889.0,01045
26519.0,01047
37851.0,01049
54766.0,01051
30687.0,01053
38013.0,01055
33838.0,01057
36415.0,01059
35625.0,01061
24226.0,01063
30051.0,01065
41650.0,01067
40948.0,01069
37634.0,01071
45429.0,01073
36028.0,01075
42844.0,01077
38551.0,01079
43542.0,01081
48619.0,01083
26230.0,01085
30724.0,01087
58434.0,01089
35079.0,01091
32888.0,01093
39526.0,01095
43028.0,01097
29203.0,01099
44790.0,01101
44800.0,01103
28209.0,01105
28741.0,01107
33090.0,01109
35213.0,01111
36143.0,01113
50786.0,01115
68770.0,01117
22186.0,01119
35439.0,01121
39130.0,01123
45408.0,01125
37566.0,01127
42156.0,01129
23642.0,01131
32900.0,01133
61250.0,02013
52691.0,13097
28853.0,13099
31375.0,13101
63030.0,13103
35817.0,13105
32046.0,13107
36788.0,13109
34239.0,13111
79977.0,13113
40821.0,13115
86569.0,13117
34830.0,13119
56857.0,13121
39140.0,13123
37760.0,13125
46407.0,13127
40926.0,13129
30571.0,13131
42565.0,13133
60445.0,13135
39306.0,13137
50853.0,13139
25000.0,13141
39993.0,13143
69223.0,13145
35615.0,13147
39909.0,13149
60781.0,13151
54893.0,13153
40771.0,13155
53179.0,13157
42192.0,13159
36296.0,13161
26968.0,13163
26104.0,13165
36722.0,13167
51497.0,13169
41016.0,13171
39452.0,13173
34793.0,13175
60104.0,13177
43832.0,13179
35625.0,13181
42651.0,13183
37365.0,13185
43775.0,13187
37487.0,13189
39068.0,13191
30240.0,13193
42549.0,13195
33301.0,13197
37333.0,13199
32260.0,13201
32054.0,13205
48630.0,13207
32702.0,13209
47729.0,13211
34888.0,13213
41339.0,13215
50580.0,13217
75004.0,13219
45729.0,13221
61837.0,13223
39844.0,13225
51383.0,13227
39067.0,13229
53865.0,13231
39208.0,13233
41550.0,13235
44764.0,13237
31068.0,13239
35423.0,13241
30023.0,13243
37749.0,13245
52579.0,13247
38425.0,13249
34848.0,13251
30521.0,13253
41534.0,13255
37898.0,13257
23451.0,13259
33796.0,13261
32424.0,13263
25465.0,13265
37587.0,13267
27455.0,13269
26634.0,13271
32628.0,13273
34035.0,13275
34591.0,13277
31189.0,13279
36570.0,13281
37894.0,13283
41161.0,13285
28326.0,13287
31234.0,13289
40009.0,13291
35329.0,13293
39963.0,13295
52369.0,13297
34572.0,13299
27796.0,13301
33652.0,13303
35830.0,13305
35718.0,13307
24382.0,13309
40670.0,13311
40471.0,13313
32928.0,13315
28983.0,13317
36173.0,13319
35792.0,13321
51250.0,15001
72764.0,15003
59375.0,15005
62052.0,15007
63512.0,15009
55210.0,16001
35434.0,16003
43534.0,16005
44964.0,16007
39049.0,16009
47941.0,16011
64042.0,16013
41056.0,16015
41414.0,16017
81853.0,02016
77454.0,02020
51689.0,02050
79531.0,02060
72500.0,02068
54150.0,02070
69223.0,02090
52866.0,02100
49545.0,02105
81490.0,02110
61793.0,02122
62519.0,02130
68718.0,02150
51786.0,02164
71037.0,02170
49974.0,02180
80761.0,02185
61607.0,02188
63934.0,02195
46071.0,02198
69405.0,02220
71667.0,02230
56801.0,02240
74878.0,02261
40176.0,02270
45841.0,02275
72500.0,02282
34710.0,02290
31476.0,04001
45755.0,04003
49555.0,04005
39954.0,04007
44943.0,04009
47992.0,04011
35776.0,04012
53596.0,04013
39200.0,04015
36927.0,04017
45841.0,04019
50027.0,04021
37745.0,04023
42987.0,04025
41595.0,04027
39633.0,05001
35683.0,05003
35343.0,05005
54515.0,05007
38506.0,05009
30409.0,05011
30980.0,05013
36584.0,05015
26201.0,05017
32721.0,05019
31502.0,05021
40246.0,05023
39420.0,05025
35128.0,05027
35225.0,05029
41393.0,05031
39479.0,05033
37751.0,05035
38085.0,05037
28931.0,05039
28680.0,05041
31171.0,05043
50314.0,05045
36766.0,05047
35522.0,05049
39162.0,05051
49004.0,05053
38413.0,05055
32056.0,05057
41193.0,05059
35879.0,05061
35026.0,05063
30661.0,05065
30284.0,05067
37140.0,05069
31003.0,05071
29732.0,05073
32239.0,05075
25034.0,05077
32697.0,05079
39673.0,05081
34996.0,05083
52582.0,05085
35771.0,05087
34494.0,05089
41319.0,05091
36428.0,05093
27263.0,05095
31345.0,05097
33694.0,05099
30038.0,05101
32015.0,05103
42455.0,05105
26737.0,05107
32206.0,05109
32089.0,05111
32835.0,05113
40453.0,05115
34855.0,05117
46013.0,05119
34418.0,05121
30873.0,05123
55348.0,05125
37448.0,05127
30779.0,05129
40471.0,05131
35153.0,05133
30861.0,05135
29832.0,05137
37435.0,05139
32517.0,05141
41248.0,05143
42487.0,05145
28259.0,05147
35535.0,05149
72112.0,06001
58636.0,06003
53684.0,06005
43752.0,06007
55295.0,06009
52158.0,06011
78756.0,06013
37909.0,06015
69297.0,06017
45563.0,06019
43023.0,06021
41426.0,06023
41807.0,06025
44796.0,06027
48552.0,06029
48133.0,06031
36548.0,06033
53107.0,06035
55909.0,06037
45625.0,06039
90839.0,06041
49820.0,06043
43469.0,06045
42591.0,06047
36212.0,06049
61757.0,06051
59168.0,06053
70443.0,06055
57353.0,06057
75422.0,06059
72725.0,06061
45794.0,06063
56529.0,06065
55064.0,06067
66237.0,06069
54090.0,06071
62962.0,06073
75604.0,06075
53380.0,06077
58697.0,06079
88202.0,06081
62779.0,06083
91702.0,06085
66519.0,06087
44651.0,06089
39009.0,06091
37709.0,06093
67177.0,06095
63356.0,06097
49297.0,06099
50408.0,06101
41924.0,06103
36890.0,06105
42708.0,06107
48426.0,06109
76544.0,06111
55918.0,06113
44902.0,06115
56270.0,08001
34520.0,08003
60651.0,08005
48933.0,08007
38829.0,08009
37340.0,08011
67956.0,08013
77998.0,08014
46504.0,08015
51641.0,08017
67259.0,08019
34526.0,08021
29145.0,08023
31477.0,08025
32427.0,08027
42078.0,08029
50313.0,08031
37750.0,08033
101591.0,08035
74456.0,08037
82118.0,08039
57125.0,08041
39943.0,08043
57022.0,08045
63885.0,08047
64664.0,08049
52332.0,08051
56667.0,08053
33298.0,08055
43606.0,08057
68984.0,08059
40813.0,08061
44157.0,08063
44610.0,08065
58080.0,08067
58626.0,08069
42261.0,08071
41910.0,08073
40415.0,08075
49471.0,08077
47083.0,08079
