B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
3255.0,2810.0,48.0,38.0,197.0,162.0,02195
8198.0,8107.0,0.0,2.0,11.0,78.0,02158
4253913.0,3559744.0,10388.0,50836.0,253635.0,379310.0,04013
37879.0,36220.0,29.0,257.0,430.0,943.0,04009
46584.0,30649.0,37.0,934.0,8451.0,6513.0,04023
20701.0,18349.0,0.0,79.0,708.0,1565.0,04012
206064.0,190265.0,263.0,1648.0,6716.0,7172.0,04015
140217.0,132018.0,208.0,1198.0,2752.0,4041.0,04005
224645.0,207796.0,257.0,2536.0,7220.0,6836.0,04025
9504.0,9144.0,0.0,57.0,100.0,203.0,04011
419721.0,375624.0,1325.0,4210.0,16451.0,22111.0,04021
8440.0,8351.0,1.0,38.0,44.0,6.0,05099
16998.0,16919.0,0.0,7.0,16.0,56.0,05037
7432.0,7367.0,0.0,0.0,57.0,8.0,05039
23892.0,23328.0,0.0,92.0,143.0,329.0,05027
118009.0,113591.0,91.0,708.0,1635.0,1984.0,05125
16684.0,16411.0,0.0,90.0,62.0,121.0,05141
13559.0,13231.0,6.0,70.0,72.0,180.0,05065
37264.0,35962.0,1.0,164.0,379.0,758.0,05063
21757.0,21301.0,13.0,47.0,91.0,305.0,05083
18086.0,17819.0,15.0,66.0,64.0,122.0,05053
17780.0,17362.0,49.0,52.0,258.0,59.0,05047
10808.0,10363.0,0.0,5.0,131.0,309.0,05109
70424.0,69070.0,0.0,248.0,416.0,690.0,05069
8993.0,8679.0,0.0,12.0,78.0,224.0,05097
10442.0,10217.0,0.0,20.0,132.0,73.0,05127
127461.0,115215.0,19.0,720.0,5185.0,6322.0,05131
62472.0,59744.0,58.0,338.0,795.0,1537.0,05033
10826.0,10567.0,0.0,35.0,73.0,151.0,05017
26291.0,23611.0,28.0,201.0,674.0,1777.0,05071
9398.0,9304.0,0.0,7.0,13.0,74.0,05077
45096.0,43696.0,53.0,270.0,455.0,622.0,29029
223302.0,218229.0,33.0,941.0,2539.0,1560.0,29099
17811.0,17620.0,16.0,89.0,17.0,69.0,29143
10217.0,10072.0,24.0,10.0,73.0,38.0,29173
11845.0,11610.0,20.0,25.0,113.0,77.0,30017
1619.0,1598.0,0.0,0.0,0.0,21.0,30075
11228.0,11052.0,0.0,58.0,40.0,78.0,30085
2280.0,2205.0,0.0,63.0,12.0,0.0,30051
11360.0,11087.0,0.0,31.0,85.0,157.0,30083
4976.0,4681.0,0.0,118.0,161.0,16.0,30101
1753.0,1669.0,0.0,12.0,65.0,7.0,30019
1951.0,1928.0,0.0,3.0,14.0,6.0,30045
9100.0,8802.0,12.0,57.0,159.0,70.0,30023
1630.0,1606.0,0.0,12.0,0.0,12.0,30055
9250.0,9073.0,0.0,58.0,41.0,78.0,30087
9191.0,9012.0,30.0,59.0,16.0,74.0,30021
5834.0,5729.0,0.0,49.0,26.0,30.0,30007
4124.0,4042.0,0.0,10.0,50.0,22.0,30071
480.0,477.0,0.0,3.0,0.0,0.0,31009
1894.0,1859.0,0.0,8.0,15.0,12.0,31049
886.0,861.0,0.0,0.0,10.0,15.0,31113
5098.0,5058.0,0.0,7.0,16.0,17.0,31169
31583.0,29705.0,0.0,87.0,721.0,1070.0,31001
5313.0,5265.0,5.0,8.0,15.0,20.0,31011
1350.0,1333.0,0.0,9.0,8.0,0.0,31149
3042.0,2983.0,2.0,7.0,27.0,23.0,31163
6405.0,6282.0,2.0,19.0,64.0,38.0,31093
2015.0,1989.0,0.0,4.0,22.0,0.0,31073
937005.0,869902.0,884.0,5757.0,20741.0,39721.0,47157
27859.0,27224.0,0.0,289.0,59.0,287.0,47077
53247.0,51589.0,64.0,267.0,306.0,1021.0,47089
14730.0,14363.0,9.0,91.0,33.0,234.0,47153
