B25033_001E,B25033_002E,B25033_003E,B25033_004E,B25033_005E,B25033_006E,B25033_007E,B25033_008E,B25033_009E,B25033_010E,B25033_011E,B25033_012E,B25033_013E,geoid
3178.0,2320.0,2027.0,37.0,3.0,231.0,22.0,858.0,425.0,138.0,233.0,62.0,0.0,02195
7929.0,6138.0,6073.0,0.0,0.0,65.0,0.0,1791.0,1683.0,47.0,39.0,22.0,0.0,02158
4200536.0,2592968.0,2424235.0,16775.0,34904.0,113819.0,3235.0,1607568.0,827322.0,163331.0,570042.0,45147.0,1726.0,04013
33671.0,23229.0,17586.0,47.0,0.0,5541.0,55.0,10442.0,6498.0,535.0,1035.0,2374.0,0.0,04009
46169.0,30396.0,29471.0,81.0,0.0,787.0,57.0,15773.0,8783.0,2523.0,3248.0,1219.0,0.0,04023
20489.0,14822.0,6292.0,146.0,12.0,6771.0,1601.0,5667.0,2217.0,554.0,491.0,2121.0,284.0,04012
202739.0,133879.0,99115.0,785.0,759.0,32777.0,443.0,68860.0,35635.0,8100.0,7183.0,17403.0,539.0,04015
126620.0,79958.0,65601.0,238.0,325.0,13732.0,62.0,46662.0,21146.0,5658.0,14790.0,5048.0,20.0,04005
219674.0,155633.0,126226.0,723.0,247.0,27607.0,830.0,64041.0,32363.0,11004.0,7450.0,12885.0,339.0,04025
9410.0,4027.0,2063.0,0.0,0.0,1950.0,14.0,5383.0,3870.0,19.0,138.0,1335.0,21.0,04011
393208.0,278887.0,237925.0,606.0,349.0,37929.0,2078.0,114321.0,84969.0,7083.0,8599.0,13429.0,241.0,04021
8257.0,5222.0,3798.0,0.0,0.0,1418.0,6.0,3035.0,1402.0,82.0,78.0,1465.0,8.0,05099
16771.0,11592.0,9280.0,0.0,0.0,2312.0,0.0,5179.0,2935.0,1304.0,238.0,630.0,72.0,05037
6734.0,4772.0,3664.0,0.0,0.0,1108.0,0.0,1962.0,1272.0,282.0,108.0,300.0,0.0,05039
22115.0,15492.0,12407.0,0.0,0.0,3085.0,0.0,6623.0,3689.0,569.0,1246.0,1119.0,0.0,05027
116707.0,92561.0,79287.0,30.0,45.0,13095.0,104.0,24146.0,12335.0,2290.0,5007.0,4337.0,177.0,05125
16488.0,12850.0,9510.0,175.0,106.0,3024.0,35.0,3638.0,2039.0,252.0,326.0,985.0,36.0,05141
12606.0,9924.0,8515.0,4.0,0.0,1405.0,0.0,2682.0,1857.0,115.0,181.0,529.0,0.0,05065
36194.0,26713.0,22595.0,0.0,44.0,4043.0,31.0,9481.0,5601.0,933.0,781.0,2166.0,0.0,05063
21150.0,15493.0,13814.0,0.0,0.0,1622.0,57.0,5657.0,3731.0,622.0,287.0,1017.0,0.0,05083
17923.0,14254.0,10643.0,1.0,0.0,3610.0,0.0,3669.0,1523.0,128.0,592.0,1426.0,0.0,05053
17435.0,12604.0,11134.0,14.0,23.0,1433.0,0.0,4831.0,3111.0,537.0,261.0,922.0,0.0,05047
10622.0,8361.0,6351.0,0.0,2.0,1994.0,14.0,2261.0,1346.0,276.0,200.0,439.0,0.0,05109
64443.0,40365.0,34488.0,70.0,12.0,5786.0,9.0,24078.0,13956.0,2470.0,6090.0,1562.0,0.0,05069
8851.0,7190.0,5350.0,18.0,0.0,1815.0,7.0,1661.0,943.0,54.0,72.0,574.0,18.0,05097
10381.0,7765.0,6532.0,29.0,0.0,1193.0,11.0,2616.0,1341.0,494.0,99.0,665.0,17.0,05127
125578.0,77733.0,73410.0,492.0,13.0,3808.0,10.0,47845.0,24449.0,10228.0,11878.0,1290.0,0.0,05131
61872.0,47774.0,41787.0,117.0,13.0,5817.0,40.0,14098.0,7908.0,2896.0,2089.0,1205.0,0.0,05033
10109.0,6078.0,4822.0,42.0,19.0,1184.0,11.0,4031.0,2515.0,664.0,366.0,486.0,0.0,05017
25513.0,18617.0,15739.0,43.0,0.0,2815.0,20.0,6896.0,3686.0,1159.0,597.0,1454.0,0.0,05071
7758.0,4601.0,3819.0,16.0,0.0,766.0,0.0,3157.0,1975.0,469.0,430.0,283.0,0.0,05077
44555.0,34334.0,29974.0,332.0,1120.0,2875.0,33.0,10221.0,4355.0,2500.0,1096.0,2240.0,30.0,29029
221128.0,178252.0,163059.0,398.0,294.0,14501.0,0.0,42876.0,21696.0,6668.0,7616.0,6896.0,0.0,29099
17466.0,10874.0,9401.0,49.0,0.0,1417.0,7.0,6592.0,4014.0,1684.0,274.0,620.0,0.0,29143
10126.0,8243.0,7730.0,0.0,5.0,508.0,0.0,1883.0,1622.0,118.0,30.0,113.0,0.0,29173
11388.0,8222.0,7467.0,43.0,23.0,689.0,0.0,3166.0,1719.0,376.0,695.0,376.0,0.0,30017
1571.0,1162.0,888.0,18.0,0.0,256.0,0.0,409.0,335.0,12.0,6.0,56.0,0.0,30075
10958.0,6557.0,5869.0,0.0,0.0,688.0,0.0,4401.0,3654.0,248.0,315.0,184.0,0.0,30085
2258.0,1378.0,1129.0,0.0,49.0,200.0,0.0,880.0,279.0,107.0,478.0,16.0,0.0,30051
