B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
2988762.0,2898937.0,4850.0,15223.0,26435.0,43317.0,28
6090062.0,5796067.0,6561.0,39646.0,116199.0,131589.0,29
1041732.0,1009501.0,702.0,8844.0,11969.0,10716.0,30
1904760.0,1755662.0,2431.0,13243.0,50335.0,83089.0,31
2922849.0,2305474.0,11735.0,39240.0,273143.0,293257.0,32
1343622.0,1246367.0,4789.0,11179.0,44906.0,36381.0,33
8881845.0,6701634.0,132257.0,79894.0,1098338.0,869722.0,34
2092434.0,1867539.0,3058.0,20603.0,78111.0,123123.0,35
19618453.0,14679749.0,287154.0,211657.0,2502073.0,1937820.0,36
10155624.0,9233303.0,34242.0,88463.0,305259.0,494357.0,37
752201.0,716025.0,1218.0,5329.0,12081.0,17548.0,38
11641879.0,11022235.0,41554.0,57109.0,267363.0,253618.0,39
3918137.0,3645267.0,4702.0,33632.0,81544.0,152992.0,40
4081943.0,3628162.0,6240.0,41720.0,177409.0,228412.0,41
12791181.0,11695698.0,151158.0,78605.0,454876.0,410844.0,42
1056611.0,888787.0,14046.0,9581.0,79618.0,64579.0,44
4955925.0,4661160.0,13866.0,40460.0,98924.0,141515.0,45
864289.0,828582.0,892.0,4703.0,11159.0,18953.0,46
6651089.0,6259610.0,11174.0,46243.0,125428.0,208634.0,47
27885195.0,22736251.0,95285.0,316967.0,1738344.0,2998348.0,48
624977.0,589669.0,754.0,5562.0,15703.0,13289.0,50
3045350.0,2757855.0,4716.0,26219.0,99118.0,157442.0,49
8413774.0,7214550.0,37495.0,123569.0,535760.0,502400.0,51
7294336.0,6141835.0,25620.0,105900.0,484188.0,536793.0,53
1829054.0,1790079.0,1844.0,7491.0,15013.0,14627.0,54
5778394.0,5441241.0,20536.0,29236.0,130648.0,156733.0,55
581836.0,556679.0,392.0,4489.0,7695.0,12581.0,56
,,,,,,72
4864680.0,4653173.0,8856.0,34540.0,63087.0,105024.0,01
738516.0,663425.0,5276.0,12416.0,32782.0,24617.0,02
6946685.0,5913466.0,16636.0,83431.0,394826.0,538326.0,04
2990671.0,2827216.0,2780.0,18195.0,45662.0,96818.0,05
39148760.0,28079841.0,75808.0,455582.0,5353219.0,5184310.0,06
5531141.0,4902949.0,11651.0,73564.0,224034.0,318943.0,08
949495.0,846797.0,8394.0,6926.0,41473.0,45905.0,10
684498.0,574033.0,3218.0,11089.0,40170.0,55988.0,11
3581504.0,2935845.0,99047.0,32966.0,262828.0,250818.0,09
20598139.0,15605883.0,517125.0,247921.0,2329271.0,1897939.0,12
10297484.0,9120759.0,41819.0,98923.0,444501.0,591482.0,13
1687809.0,1570319.0,1795.0,14699.0,39721.0,61275.0,16
1422029.0,1117720.0,13040.0,31683.0,150370.0,109216.0,15
12821497.0,10878180.0,53090.0,92510.0,899336.0,898381.0,17
6637426.0,6250562.0,10483.0,34466.0,134673.0,207242.0,18
3132499.0,2951593.0,2436.0,16598.0,61476.0,100396.0,19
2908776.0,2676384.0,3764.0,21945.0,79978.0,126705.0,20
4440204.0,4242214.0,5380.0,25500.0,64433.0,102677.0,21
4663616.0,4439439.0,6546.0,24426.0,78677.0,114528.0,22
1332813.0,1270348.0,1138.0,13381.0,26522.0,21424.0,23
6003435.0,5010150.0,19959.0,69793.0,462996.0,440537.0,24
6830193.0,5502434.0,128018.0,70009.0,596451.0,533281.0,25
9957488.0,9211238.0,13436.0,61709.0,348239.0,322866.0,26
5527358.0,5023323.0,4229.0,38048.0,233645.0,228113.0,27
