B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
3251.0,3222.0,5.0,0.0,9.0,15.0,01043965401
4237.0,4157.0,0.0,5.0,30.0,45.0,01043965402
5134.0,4724.0,13.0,270.0,62.0,65.0,01045020000
3310.0,3025.0,18.0,71.0,123.0,73.0,01045020801
4357.0,4000.0,28.0,190.0,68.0,71.0,01045020802
6376.0,6364.0,0.0,12.0,0.0,0.0,01047956100
2602.0,2576.0,0.0,0.0,26.0,0.0,01047956201
2041.0,2041.0,0.0,0.0,0.0,0.0,01047956202
3749.0,3682.0,20.0,0.0,0.0,47.0,01047956300
3100.0,3059.0,0.0,8.0,0.0,33.0,01047956400
3251.0,3244.0,0.0,0.0,0.0,7.0,01047956500
2715.0,2700.0,0.0,0.0,6.0,9.0,01047956600
1826.0,1743.0,0.0,11.0,17.0,55.0,01047956701
1605.0,1600.0,0.0,0.0,0.0,5.0,01047956702
2530.0,2381.0,0.0,0.0,36.0,113.0,01047956800
2297.0,2272.0,0.0,0.0,0.0,25.0,01047956900
1263.0,1214.0,0.0,0.0,0.0,49.0,01047957000
1443.0,1421.0,13.0,6.0,3.0,0.0,01047957100
1265.0,1253.0,0.0,0.0,12.0,0.0,01047957200
3966.0,3871.0,0.0,10.0,62.0,23.0,01047957300
2244.0,2212.0,0.0,16.0,16.0,0.0,01097001100
4625.0,4527.0,0.0,0.0,35.0,63.0,01097000800
1710.0,1699.0,0.0,0.0,11.0,0.0,01097002302
2268.0,2268.0,0.0,0.0,0.0,0.0,01097002700
4878.0,4678.0,0.0,6.0,109.0,85.0,01097003100
1685.0,1648.0,0.0,0.0,20.0,17.0,01097003405
3347.0,3031.0,18.0,0.0,127.0,171.0,01097003703
7605.0,7554.0,0.0,0.0,51.0,0.0,01097005600
7411.0,7204.0,0.0,66.0,59.0,82.0,01097005700
5242.0,5095.0,0.0,34.0,85.0,28.0,01097006000
1803.0,1658.0,0.0,0.0,72.0,73.0,01097006403
1068.0,1057.0,0.0,0.0,0.0,11.0,01097000401
1434.0,1434.0,0.0,0.0,0.0,0.0,01097000500
2271.0,2146.0,8.0,80.0,5.0,32.0,01097001901
2988.0,2988.0,0.0,0.0,0.0,0.0,01097001902
1683.0,1602.0,0.0,0.0,25.0,56.0,01097002000
2744.0,2701.0,0.0,0.0,43.0,0.0,01097002200
2927.0,2634.0,11.0,9.0,172.0,101.0,01097003202
3541.0,3477.0,0.0,26.0,15.0,23.0,01097003408
951.0,951.0,0.0,0.0,0.0,0.0,01097003902
1032.0,1010.0,0.0,0.0,0.0,22.0,01097004800
2757.0,2348.0,109.0,65.0,124.0,111.0,01097003301
2404.0,2404.0,0.0,0.0,0.0,0.0,01097000702
1412.0,1401.0,0.0,11.0,0.0,0.0,01097003800
5047.0,5021.0,0.0,0.0,7.0,19.0,01097001200
2951.0,2759.0,0.0,21.0,34.0,137.0,01097003203
4261.0,4174.0,0.0,0.0,87.0,0.0,01097005800
3036.0,3003.0,0.0,11.0,21.0,1.0,01097002400
4475.0,4266.0,125.0,8.0,43.0,33.0,01097003710
4901.0,4739.0,0.0,41.0,89.0,32.0,01097007101
4465.0,4420.0,0.0,27.0,18.0,0.0,01097003402
2257.0,2216.0,0.0,29.0,0.0,12.0,01121011800
2619.0,2600.0,0.0,0.0,19.0,0.0,01121010400
2939.0,2897.0,0.0,18.0,7.0,17.0,01121010600
2032.0,1969.0,0.0,0.0,11.0,52.0,01121012000
2918.0,2913.0,0.0,0.0,5.0,0.0,01121011900
2955.0,2757.0,86.0,13.0,0.0,99.0,01121011000
4515.0,4170.0,0.0,50.0,140.0,155.0,01125010101
4850.0,4602.0,0.0,176.0,40.0,32.0,01125010204
6488.0,6287.0,0.0,68.0,65.0,68.0,01125010301
3308.0,3033.0,2.0,42.0,47.0,184.0,01125010302
6919.0,6829.0,0.0,43.0,34.0,13.0,01125010701
